CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0194,0.404927531
C0001,C0104,0.374001505
C0001,C0020,0.366608656
C0002,C0030,0.404616854
C0002,C0091,0.38377803
C0002,C0071,0.320157981
C0003,C0181,0.477571798
C0003,C0134,0.471016154
C0003,C0144,0.423799907
C0004,C0070,0.351901489
C0004,C0175,0.316097898
C0004,C0132,0.279598554
C0005,C0096,0.487456139
C0005,C0023,0.470251825
C0005,C0055,0.382099624
C0006,C0040,0.486909058
C0006,C0178,0.397810905
C0006,C0058,0.314163023
C0007,C0079,0.617441504
C0007,C0118,0.478276974
C0007,C0020,0.456615035
C0008,C0144,0.326750549
C0008,C0169,0.27888476
C0008,C0091,0.260560335
C0009,C0140,0.533441485
C0009,C0083,0.53084243
C0009,C0162,0.498892698
C0010,C0094,0.515064062
C0010,C0092,0.405516517
C0010,C0143,0.366012199
C0011,C0135,0.513282982
C0011,C0120,0.365189192
C0011,C0173,0.304760722
C0012,C0164,0.488257048
C0012,C0158,0.375129563
C0012,C0173,0.356232768
C0013,C0169,0.450755531
C0013,C0092,0.367680126
C0013,C0099,0.317244955
C0014,C0128,0.902943193
C0014,C0159,0.762785384
C0014,C0058,0.417025452
C0015,C0073,0.723118686
C0015,C0036,0.59971061
C0015,C0059,0.450981072
C0016,C0187,0.634463668
C0016,C0064,0.540293002
C0016,C0052,0.458330721
C0017,C0071,0.455520831
C0017,C0024,0.358755911
C0017,C0037,0.355628092
C0018,C0177,0.365072615
C0018,C0115,0.324831758
C0018,C0059,0.311899394
C0019,C0064,0.397781518
C0019,C0024,0.385942814
C0019,C0084,0.312645718
C0020,C0026,0.627069065
C0020,C0104,0.472465085
C0020,C0007,0.456615035
